2021-06-18 16:35:00,803 INFO  [org.apache.activemq.artemis.core.server] AMQ221007: Server is now live
2021-06-18 16:35:00,845 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started EPOLL Acceptor at 0.0.0.0:61616 for protocols [CORE,MQTT,AMQP,STOMP,HORNETQ,OPENWIRE]
2021-06-18 16:35:00,863 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started EPOLL Acceptor at 0.0.0.0:5445 for protocols [HORNETQ,STOMP]
2021-06-18 16:35:00,908 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started EPOLL Acceptor at 0.0.0.0:5672 for protocols [AMQP]
2021-06-18 16:35:00,912 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started EPOLL Acceptor at 0.0.0.0:1883 for protocols [MQTT]
2021-06-18 16:35:00,916 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started EPOLL Acceptor at 0.0.0.0:61613 for protocols [STOMP]
2021-06-18 16:35:01,320 INFO  [org.apache.activemq.artemis.core.server] AMQ221025: Replication: sending AIOSequentialFile{activemq-data-17.amq, opened=false, pendingClose=false, pendingCallbacks=org.apache.activemq.artemis.utils.AutomaticLatch@470bb90f} (size=10,485,760) to replica.
2021-06-18 16:35:01,479 INFO  [org.apache.activemq.artemis.core.server] AMQ221025: Replication: sending NIOSequentialFile /home/andreas/development/predic8_artemis/kurs/replicated-cluster/n1/data/bindings/activemq-bindings-15.bindings (size=1,048,576) to replica.
2021-06-18 16:35:01,491 INFO  [org.apache.activemq.artemis.core.server] AMQ221025: Replication: sending NIOSequentialFile /home/andreas/development/predic8_artemis/kurs/replicated-cluster/n1/data/bindings/activemq-bindings-16.bindings (size=1,048,576) to replica.
2021-06-18 16:35:01,498 INFO  [org.apache.activemq.artemis.core.server] AMQ221025: Replication: sending NIOSequentialFile /home/andreas/development/predic8_artemis/kurs/replicated-cluster/n1/data/bindings/activemq-bindings-14.bindings (size=1,048,576) to replica.
2021-06-18 16:47:29,573 INFO  [io.hawt.web.auth.AuthenticationFilter] Destroying hawtio authentication filter
2021-06-18 16:47:29,576 INFO  [io.hawt.HawtioContextListener] Destroying hawtio services
2021-06-18 16:47:29,585 INFO  [org.apache.activemq.hawtio.plugin.PluginContextListener] Destroyed artemis-plugin plugin
2021-06-18 16:47:29,587 INFO  [org.apache.activemq.hawtio.branding.PluginContextListener] Destroyed activemq-branding plugin
2021-06-18 16:47:29,601 INFO  [org.apache.activemq.artemis.core.server] AMQ221002: Apache ActiveMQ Artemis Message Broker version 2.17.0 [c0dd7981-d03b-11eb-8e32-0242b37fbbad] stopped, uptime 16 minutes
